                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2724,                0.86147,                 1.0516,                0.94492,                0.95315,                0.98473,                0.77623,                0.79143,                 66.434,                0.87567,             0.00055454,             0.00055454,             0.00055454
                      2,                0.81376,                0.48587,                0.87913,                0.95818,                0.95278,                0.98918,                0.85352,                0.58352,                 70.914,                0.81848,              0.0010369,              0.0010369,              0.0010369
                      3,                0.72806,                0.44171,                0.85948,                 0.9517,                0.95991,                0.98616,                0.87143,                0.52554,                 73.595,                0.80933,               0.001446,               0.001446,               0.001446
                      4,                0.64778,                0.39804,                0.84405,                0.97763,                0.98319,                0.99368,                0.89839,                0.46785,                 13.832,                0.79598,              0.0013369,              0.0013369,              0.0013369
                      5,                0.60898,                0.38184,                0.83602,                0.97164,                0.97651,                0.99303,                0.90681,                0.45408,                 11.226,                0.79181,              0.0013369,              0.0013369,              0.0013369
                      6,                0.54749,                 0.3536,                 0.8248,                0.97736,                0.98754,                0.99045,                0.90561,                0.42982,                 76.195,                0.78927,              0.0012269,              0.0012269,              0.0012269
                      7,                0.50068,                0.31388,                0.81376,                0.99502,                0.99312,                0.99465,                0.92102,                0.40103,                 2.6489,                0.78109,              0.0011169,              0.0011169,              0.0011169
                      8,                 0.4655,                0.29047,                0.80822,                0.99564,                0.99604,                0.99471,                 0.9344,                0.37787,                  2.252,                0.77645,              0.0010069,              0.0010069,              0.0010069
                      9,                0.43964,                0.27017,                0.80222,                0.98982,                0.99046,                0.99455,                 0.9459,                0.34641,                 3.5023,                0.77148,             0.00089685,             0.00089685,             0.00089685
                     10,                0.41979,                0.26292,                0.79913,                0.99211,                0.99281,                 0.9943,                0.94116,                 0.3462,                 3.3227,                0.77114,             0.00078682,             0.00078682,             0.00078682
                     11,                0.39581,                0.24548,                 0.7946,                0.99729,                0.99705,                0.99469,                0.95327,                0.32701,                0.42219,                0.76756,              0.0006768,              0.0006768,              0.0006768
                     12,                0.37155,                0.23241,                0.79093,                0.99867,                 0.9987,                0.99484,                0.95955,                0.30507,                0.19874,                0.76338,             0.00056678,             0.00056678,             0.00056678
                     13,                0.34775,                0.21978,                0.78725,                 0.9985,                0.99837,                0.99483,                0.96227,                 0.2962,                0.21918,                0.76271,             0.00045676,             0.00045676,             0.00045676
                     14,                0.32542,                0.20936,                0.78383,                 0.9988,                0.99862,                0.99483,                0.97361,                0.25799,                0.17271,                0.75602,             0.00034674,             0.00034674,             0.00034674
                     15,                0.30715,                0.19908,                0.78169,                 0.9987,                0.99889,                0.99484,                0.97758,                0.24871,                0.16245,                 0.7548,             0.00023671,             0.00023671,             0.00023671
